,Page,Formatted_content,Processed_content,keywords
0,5,Effective 10/15/2023Deposit Account Agreement,Effective 10/15/2023Deposit Account Agreement,"['2023deposit account agreement', 'account agreement', '2023deposit account', 'effective 10 15', '15 2023deposit account', 'account', 'effective 10', '15 2023deposit', '2023deposit', '10 15 2023deposit']"
1,5,"This agreement is the contract that governs your account. Whether you have a personal or business deposit account, this document is the basic agreement between you and us (JPMorgan Chase Bank, N.A. or “Chase”). By ","agreement contract governs account . Whether personal business deposit account , document basic agreement u ( JPMorgan Chase Bank , N.A . “ Chase ” ) .","['agreement jpmorgan chase', 'basic agreement jpmorgan', 'agreement jpmorgan', 'contract governs account', 'deposit account document', 'agreement contract governs', 'document basic agreement', 'account document', 'agreement contract', 'jpmorgan chase bank']"
2,5,"signing a signature card or submitting an account application, or by using any of our deposit account services, you and anyone else identiﬁed as an owner of the account agree to the terms in this agreement. Customers of some of our business groups, such as Corporate Banking, will get a different agreement and their accounts will be governed by that agreement, not this one. If you have a product that is not a deposit account, such as a credit card, this agreement does not apply to that product. Also, other products or services, such as online banking or retirement accounts, may have additional agreements. In the event of an irreconcilable conflict between the terms of this agreement and any applicable Chase agreements, the terms of this agreement will control, unless otherwise explicitly stated. This agreement also refers to and includes other disclosures we may provide to you, including (1) product information, (2) rate information, (3) banking services and ","signing signature card submitting account application , using deposit account service , anyone else identiﬁed owner account agree term agreement . Customers business group , Corporate Banking , get different agreement account governed agreement , one . product deposit account , credit card , agreement apply product . Also , product service , online banking retirement account , may additional agreement . event irreconcilable conflict term agreement applicable Chase agreement , term agreement control , unless otherwise explicitly stated . agreement also refers includes disclosure may provide , including ( 1 ) product information , ( 2 ) rate information , ( 3 ) banking service","['agreement applicable chase', 'chase agreement', 'applicable chase agreement', 'card agreement', 'banking different agreement', 'chase agreement term', 'term agreement customers', 'card agreement apply', 'agreement account', 'credit card agreement']"
3,5,"fees, and (4) other disclosures, agreements, and amendments that we may provide to you. All may contain information on fees that apply to your accounts. Products and services as well as associated fees, charges, interest rates and balance requirements may differ among different geographic locations. Not all products and services, including check cashing, are offered at all locations. I. Definitions","fee , ( 4 ) disclosure , agreement , amendment may provide . may contain information fee apply account . Products service well associated fee , charge , interest rate balance requirement may differ among different geographic location . product service , including check cashing , offered location . I. Definitions","['fee apply account', 'fee disclosure agreement', 'service associated fee', 'fee disclosure', 'contain information fee', 'product service including', 'information fee apply', 'associated fee charge', 'fee charge', 'account products service']"
4,5,"Here are some important terms that we use throughout this agreement: Account: Any deposit account, such as a checking or savings account, you have with us that is covered by this agreement.ACH (Automated Clearing House): ACH, which may also be referred to as automatic payments, are funds transferred to or from your account through an ","important term use throughout agreement : Account : deposit account , checking saving account , u covered agreement.ACH ( Automated Clearing House ) : ACH , may also referred automatic payment , fund transferred account","['account covered agreement', 'agreement account deposit', 'agreement account', 'account deposit account', 'covered agreement ach', 'use agreement account', 'saving account covered', 'deposit account', 'account deposit', 'agreement ach automated']"
5,5,"automated clearing house network. Common examples include direct deposits of payroll, tax refunds, government bene ﬁts, and pensions. ATM (Automated Teller Machine): An electronic device that performs many banking services, which can include withdrawals and balance inquiries. Available balance:  The amount of money in your account that you can use right now. You can ﬁnd this balance on receipts you receive at ATMs, from a banker at a ","automated clearing house network . Common example include direct deposit payroll , tax refund , government bene ﬁts , pension . ATM ( Automated Teller Machine ) : electronic device performs many banking service , include withdrawal balance inquiry . Available balance : amount money account use right . ﬁnd balance receipt receive ATMs , banker","['automated teller machine', 'receive atms', 'atm automated', 'automated teller', 'atms', 'atm automated teller', 'device performs banking', 'performs banking service', 'receive atms banker', 'atms banker']"
6,5,"branch, on chase.com or Chase Mobile. Here’s how we calculate your available balance: We start with your previous end of day balance,","branch , chase.com Chase Mobile . ’ calculate available balance : start previous end day balance ,","['chase mobile calculate', 'calculate available balance', 'branch chase com', 'available balance', 'com chase mobile', 'available balance start', 'chase mobile', 'end day balance', 'branch chase', 'mobile calculate available']"
7,5,"• Add any pending credit transactions,","• Add pending credit transaction ,","['add pending credit', 'pending credit transaction', 'pending credit', 'credit transaction', 'add pending', 'transaction', 'credit', 'pending', 'add']"
8,5,"• Subtract any pending debit transactions, deposits that are not available yet for withdrawal, and any holds on your account. Business day: Every day except Saturdays, Sundays and federal holidays. Some branches may close on a business day due to an emergency or to observe a state ","• Subtract pending debit transaction , deposit available yet withdrawal , hold account . Business day : Every day except Saturdays , Sundays federal holiday . branch may close business day due emergency observe state","['account business day', 'subtract pending debit', 'business day day', 'close business day', 'business day', 'business day emergency', 'federal holiday branch', 'saturdays sundays federal', 'federal holiday', 'debit transaction']"
9,5,"holiday. Check:  A written order to pay a speci ﬁc amount of money drawn on, payable through, payable at or processed by a bank or other depository institution. If a check is ","holiday . Check : written order pay speci ﬁc amount money drawn , payable , payable processed bank depository institution . check","['holiday check written', 'holiday check', 'payable processed bank', 'written order pay', 'depository institution check', 'payable payable processed', 'order pay speci', 'processed bank', 'processed bank depository', 'money drawn payable']"
